aluno,prova_1,prova_2,prova_3,prova_4,prova_5,prova_6,final_result,faixa_volume,intensidade_media,cluster
DDD_2014J_100561,0.2303849544519542,0.17313155059261437,0.2536977177000686,0.0830149867763738,0.1635321774904496,0.09623861298853953,Fail,medio,4.0,2
DDD_2014J_101279,0.8888413852073535,0.11115861479264642,0.0,0.0,0.0,0.0,Fail,baixo,0.5743589743589743,3
DDD_2014J_102221,0.46474266855630764,0.17759982557159987,0.14013736236509053,0.03627317866027096,0.0682649329540837,0.11298203189264723,Pass,medio,4.517948717948718,0
DDD_2014J_104772,0.7589146356105175,0.02353223676311682,0.020170488654100132,0.05907071677272182,0.12102293192460079,0.017288990274942972,Fail,baixo,1.7487179487179487,3
DDD_2014J_106553,0.2295679333680375,0.15741801145236858,0.16324830817282665,0.11494013534617388,0.16616345653305573,0.16866215512753777,Pass,baixo,2.6,2
DDD_2014J_1078701,0.32975368431444596,0.19733775030576928,0.238801713405036,0.09312937743724188,0.08569219040515118,0.055285284132355596,Pass,alto,8.276923076923078,2
DDD_2014J_1082062,0.3131944552970042,0.13783619059525856,0.16190282704839895,0.10626826485802247,0.2017221709981403,0.07907609120317555,Distinction,alto,9.61025641025641,2
DDD_2014J_110524,0.3965173918569673,0.1384004858139502,0.1344461862192659,0.08897174088039655,0.12218785747574461,0.11947633775367537,Pass,medio,3.476923076923077,2
DDD_2014J_110640,0.313001397999785,0.2371222712119583,0.22056135068286917,0.05129583826217873,0.11607699752661578,0.06194214431659319,Pass,alto,8.266666666666667,0
DDD_2014J_111926,0.6585147992258658,0.1648418573806656,0.06442095575796125,0.031669125309585995,0.060252540973622586,0.020300721352298715,Pass,baixo,2.917948717948718,3
DDD_2014J_1173473,0.29661016949152547,0.20740410347903662,0.12265834076717218,0.12584427169618964,0.1280107047279215,0.11947240983815471,Pass,alto,9.646153846153846,2
DDD_2014J_123183,0.37517387145417097,0.12982401911437294,0.1362567407822022,0.12631526184101152,0.1214030016583055,0.11102710514993669,Pass,alto,12.097435897435897,2
DDD_2014J_123957,0.24475524475524477,0.0,0.0,0.0,0.7552447552447553,0.0,Fail,baixo,0.3282051282051282,2
DDD_2014J_129989,0.3834147138741904,0.154452775450998,0.2087972705170899,0.07600057204731649,0.12585040962673913,0.05148425848366601,Distinction,medio,6.6461538461538465,2
DDD_2014J_131152,0.6938348498856503,0.13965257165101455,0.09877864824096151,0.011678263831443724,0.042917619580555684,0.013138046810374192,Fail,baixo,1.5487179487179488,3
DDD_2014J_131612,0.3806485290986394,0.19905076550061473,0.14039329354149638,0.05522319374137138,0.14020097396130257,0.08448324415657561,Pass,medio,6.728205128205128,2
DDD_2014J_132157,0.2782064347066531,0.15795603435725727,0.22929101761537343,0.12228854272819917,0.13146018343281413,0.08079778715970302,Fail,medio,2.707692307692308,2
DDD_2014J_132511,0.41657509687120464,0.3157712104563067,0.17003065178416515,0.06130356833034527,0.03400613035683303,0.002313342201145104,Fail,baixo,2.066666666666667,0
DDD_2014J_133365,0.3596253248422195,0.24854594435083913,0.111279283395684,0.06711026073050233,0.12234057743381785,0.0910986092469372,Pass,alto,9.815384615384616,0
DDD_2014J_134243,0.2779837391425122,0.2632506757550829,0.11292855692902702,0.07339822006645369,0.10544984454962125,0.16698896355730297,Pass,alto,9.446153846153846,2
DDD_2014J_134920,0.6289577271949341,0.14376176621598494,0.11021735409892179,0.05750470648639397,0.04312852986479548,0.016429916138969707,Fail,baixo,1.1743589743589744,3
DDD_2014J_1360878,0.45634004616731666,0.15044177346175278,0.07800684549868661,0.023879646581230596,0.23402053649605983,0.05731115179495343,Pass,baixo,1.1435897435897435,2
DDD_2014J_136135,0.5709985636670206,0.1923437207269094,0.08917754324611253,0.031474427028039716,0.06504714919128209,0.050958596140635734,Pass,medio,3.3025641025641024,3
DDD_2014J_136793,0.6968245068555992,0.04995157755237269,0.06957541159080483,0.0229369488760895,0.09954635812222844,0.06116519700290534,Pass,baixo,3.292307692307692,3
DDD_2014J_1380308,0.4888170181751924,0.17856329431057255,0.258279050699221,0.010932446590443217,0.04974263198651665,0.013665558238054024,Pass,baixo,1.676923076923077,0
