id_student,ciclo,id_assessment,total_clicks,cluster,perfil,silhueta
31296,1,34899,45,1,Cluster 1 (com=0.70),0.3775000535708603
35747,1,34899,491,0,Cluster 0 (com=0.51),0.11352082759005465
35796,1,34899,277,0,Cluster 0 (com=0.51),0.44534422427477816
40857,1,34899,207,1,Cluster 1 (com=0.70),-0.029450927977806057
40878,1,34899,345,0,Cluster 0 (com=0.51),0.5163119386241218
42552,1,34899,500,0,Cluster 0 (com=0.51),0.3712194466801821
43958,1,34899,297,0,Cluster 0 (com=0.51),0.42225531084215673
45423,1,34899,807,0,Cluster 0 (com=0.51),0.38545215393392257
47861,1,34899,2276,0,Cluster 0 (com=0.51),0.5000425403905134
56637,1,34899,1140,0,Cluster 0 (com=0.51),0.48570761965970954
56667,1,34899,54,1,Cluster 1 (com=0.70),0.4007931352762398
58884,1,34899,667,0,Cluster 0 (com=0.51),0.3941645292230279
63112,1,34899,126,1,Cluster 1 (com=0.70),0.03296566657977391
64427,1,34899,415,0,Cluster 0 (com=0.51),0.41329053601567295
66892,1,34899,81,0,Cluster 0 (com=0.51),0.3044959958019039
69439,1,34899,229,0,Cluster 0 (com=0.51),0.32156685279774394
71159,1,34899,459,0,Cluster 0 (com=0.51),0.2367771680156152
74165,1,34899,461,0,Cluster 0 (com=0.51),0.37870985863585305
75107,1,34899,938,0,Cluster 0 (com=0.51),0.5222620905673504
77692,1,34899,600,1,Cluster 1 (com=0.70),0.38673330008981344
77995,1,34899,103,1,Cluster 1 (com=0.70),0.027092777928749732
79610,1,34899,304,1,Cluster 1 (com=0.70),-0.05978095961983216
80438,1,34899,903,0,Cluster 0 (com=0.51),0.5207214882269516
84604,1,34899,710,0,Cluster 0 (com=0.51),0.40874910981989815
85241,1,34899,142,0,Cluster 0 (com=0.51),0.3530259196729958
87264,1,34899,500,0,Cluster 0 (com=0.51),0.34858660390431895
87322,1,34899,88,0,Cluster 0 (com=0.51),0.34159983365633706
91801,1,34899,795,0,Cluster 0 (com=0.51),0.44903236925988327
94749,1,34899,584,0,Cluster 0 (com=0.51),0.46787867481033585
98256,1,34899,164,0,Cluster 0 (com=0.51),0.31580724641410224
101217,1,34899,62,0,Cluster 0 (com=0.51),0.25680483449879365
102854,1,34899,610,0,Cluster 0 (com=0.51),0.5264771272806844
105125,1,34899,388,0,Cluster 0 (com=0.51),0.3773715211358743
105939,1,34899,265,0,Cluster 0 (com=0.51),0.2503430087040124
107455,1,34899,252,0,Cluster 0 (com=0.51),0.3446842614248779
109577,1,34899,143,0,Cluster 0 (com=0.51),0.24291601094301418
110820,1,34899,471,0,Cluster 0 (com=0.51),0.4611022316520364
113702,1,34899,973,0,Cluster 0 (com=0.51),0.47583068564748576
116529,1,34899,11,0,Cluster 0 (com=0.51),0.21722922330056643
