aluno,forma_w00,forma_w01,forma_w02,forma_w03,forma_w04,forma_w05,forma_w06,forma_w07,forma_w08,forma_w09,forma_w10,forma_w11,forma_w12,forma_w13,forma_w14,forma_w15,forma_w16,forma_w17,forma_w18,forma_w19,forma_w20,forma_w21,forma_w22,forma_w23,forma_w24,forma_w25,forma_w26,forma_w27,forma_w28,forma_w29,total_cliques,media_semanal,semanas_ativas,semanas_mortas,inclinacao,centro_massa,std_forma,pico_posicao,frac_segunda_metade,cliques_pre_curso
AAA_2013J_100893,0.05578800557880056,0.0697350069735007,0.015341701534170154,0.1087866108786611,0.10739191073919108,0.08228730822873083,0.0,0.0,0.06415620641562064,0.0,0.0,0.01394700139470014,0.08089260808926081,0.0,0.0,0.001394700139470014,0.005578800557880056,0.0,0.02510460251046025,0.05299860529986053,0.02092050209205021,0.0,0.011157601115760111,0.04184100418410042,0.07391910739191074,0.100418410041841,0.0,0.06834030683403068,0.0,0.0,717,23.9,19,11,-0.0010099552734093209,0.42172846631077765,0.03736017881457045,0.10344827586206896,0.401673640167364,27
AAA_2013J_101781,0.058653340347185695,0.1841136244082062,0.042609153077327724,0.03103629668595476,0.04392425039452919,0.04734350341925302,0.011309836927932667,0.01262493424513414,0.027880063124671225,0.025512887953708575,0.02288269331930563,0.028406102051551814,0.014466070489216202,0.03208837453971594,0.016833245660178853,0.011309836927932667,0.02367175170962651,0.041557075223566546,0.0241977906365071,0.056023145712782746,0.0728563913729616,0.015255128879537085,0.029458179905312992,0.019200420831141506,0.03261441346659653,0.03314045239347712,0.02288269331930563,0.01551814834297738,0.0,0.0026301946344029457,3802,126.73333333333333,29,1,-0.001523933015759517,0.3818951912786374,0.03233805733160114,0.034482758620689655,0.40031562335612836,302
AAA_2013J_102806,0.10952118877270225,0.05723720418271877,0.051733626857457346,0.03632361034672537,0.05888827738029719,0.05393505778756191,0.03137039075399009,0.015410016510731976,0.0170610897083104,0.006053935057787562,0.0170610897083104,0.04898183819482664,0.018712162905888827,0.0170610897083104,0.0049532195927352776,0.03026967528893781,0.029168959823885527,0.0379746835443038,0.0275178866263071,0.03577325261419923,0.03742432581177765,0.03577325261419923,0.05063291139240506,0.04292790313703908,0.031920748486516236,0.020913593835993397,0.04237754540451293,0.03137039075399009,0.000550357732526142,0.001100715465052284,1817,60.56666666666667,30,0,-0.0010614129439975803,0.4177404968401875,0.02143697335694431,0.0,0.4556962025316456,127
AAA_2013J_102952,0.14209115281501342,0.1063449508489723,0.05361930294906166,0.06702412868632708,0.017873100983020553,0.020554066130473638,0.0,0.002680965147453083,0.0,0.0,0.009830205540661306,0.09472743521000894,0.07059874888293119,0.029490616621983913,0.0071492403932082215,0.0,0.04289544235924933,0.04289544235924933,0.0580875781948168,0.02770330652368186,0.013404825737265416,0.0017873100983020554,0.002680965147453083,0.08310991957104558,0.07864164432529044,0.005361930294906166,0.017873100983020553,0.0035746201966041107,0.0,0.0,1119,37.3,24,6,-0.0015906861063976355,0.3767218267541832,0.03773662364663584,0.0,0.3780160857908847,31
AAA_2013J_1035023,0.03595132743362832,0.084070796460177,0.04701327433628318,0.04480088495575221,0.03595132743362832,0.03263274336283186,0.02157079646017699,0.03263274336283186,0.025995575221238937,0.02157079646017699,0.03926991150442478,0.030973451327433628,0.027101769911504425,0.034292035398230086,0.02820796460176991,0.029867256637168143,0.03152654867256637,0.08351769911504425,0.03816371681415929,0.056969026548672565,0.07245575221238938,0.015486725663716814,0.024889380530973452,0.03263274336283186,0.016039823008849558,0.008849557522123894,0.013827433628318585,0.03373893805309734,0.0,0.0,1808,60.266666666666666,28,2,-0.0009479559392441948,0.4265334147085749,0.01990224984318341,0.034482758620689655,0.4579646017699115,88
AAA_2013J_104476,0.10300023623907394,0.028112449799196786,0.028112449799196786,0.023623907394283016,0.04488542404913773,0.003543586109142452,0.008268367587999054,0.009449562957713206,0.002834868887313962,0.028584927947082447,0.04299551145759509,0.005905976848570754,0.014883061658398299,0.04559414127096622,0.03590833923931018,0.06213087644696433,0.020316560359083392,0.06803685329553508,0.10725253957004488,0.020552799433026223,0.01748169147176943,0.03850696905268131,0.03236475313016773,0.03378218757382471,0.05598866052445074,0.07701393810536263,0.031656035908339236,0.007795889440113395,0.001417434443656981,0.0,4233,141.1,29,1,-0.00011504501287227003,0.49108401150239905,0.027588122049594807,0.6206896551724138,0.5742971887550201,544
AAA_2013J_106577,0.09417808219178082,0.15753424657534246,0.03767123287671233,0.0017123287671232876,0.0,0.11815068493150685,0.003424657534246575,0.003424657534246575,0.0,0.0,0.008561643835616438,0.00684931506849315,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.2226027397260274,0.017123287671232876,0.008561643835616438,0.1284246575342466,0.0410958904109589,0.015410958904109588,0.03424657534246575,0.05650684931506849,0.032534246575342464,0.005136986301369863,0.0,584,19.466666666666665,20,10,-0.0005028418181541138,0.4610297590930562,0.05468513148787719,0.6551724137931034,0.5616438356164383,149
AAA_2013J_110175,0.052083333333333336,0.109375,0.009375,0.0625,0.10625,0.013541666666666667,0.03958333333333333,0.03229166666666667,0.0,0.022916666666666665,0.0,0.003125,0.005208333333333333,0.020833333333333332,0.08229166666666667,0.013541666666666667,0.00625,0.009375,0.020833333333333332,0.10625,0.18020833333333333,0.0,0.007291666666666667,0.005208333333333333,0.06354166666666666,0.00625,0.020833333333333332,0.0010416666666666667,0.0,0.0,960,32.0,25,5,-0.0011169818316648119,0.4134339080459769,0.04331546773809986,0.6896551724137931,0.4406249999999999,38
AAA_2013J_1105478,0.12277227722772277,0.09174917491749175,0.015181518151815182,0.13861386138613863,0.1042904290429043,0.04884488448844884,0.02706270627062706,0.008580858085808581,0.031683168316831684,0.0019801980198019802,0.013861386138613862,0.009240924092409241,0.01914191419141914,0.017161716171617162,0.026402640264026403,0.04950495049504951,0.058745874587458745,0.04686468646864687,0.033003300330033,0.008580858085808581,0.007920792079207921,0.0019801980198019802,0.0039603960396039604,0.007260726072607261,0.0046204620462046205,0.036963696369636964,0.05478547854785479,0.006600660066006601,0.0019801980198019802,0.0006600660066006601,1515,50.5,30,0,-0.0023766781572484284,0.3158074428132468,0.036581693381743996,0.10344827586206896,0.32343234323432346,180
AAA_2013J_111717,0.0899091343854615,0.06743185078909612,0.021999043519846963,0.03825920612147298,0.0937350549976088,0.00860832137733142,0.042085126733620276,0.036824485891917745,0.03778096604495457,0.01673840267814443,0.03825920612147298,0.07604017216642754,0.04256336681013869,0.034911525585844094,0.010521281683405069,0.016260162601626018,0.0392156862745098,0.03347680535628886,0.010521281683405069,0.0,0.02391200382592061,0.016260162601626018,0.08512673362027738,0.024868483978957436,0.02582496413199426,0.00860832137733142,0.04973696795791487,0.010521281683405069,0.0,0.0,2091,69.7,27,3,-0.0014483386344038146,0.38775375583370436,0.026068880754738705,0.13793103448275862,0.34433285509325684,252
