id_student,ciclo,id_assessment,total_clicks,cluster,perfil,silhueta
31296,1,34899,45,1,Cluster 1 (com=0.69),0.49311396884552494
35747,1,34899,491,1,Cluster 1 (com=0.69),0.15709868640972285
35796,1,34899,277,0,Cluster 0 (com=0.50),0.5057201761513949
40857,1,34899,207,0,Cluster 0 (com=0.50),0.1612982196634744
40878,1,34899,345,0,Cluster 0 (com=0.50),0.5599371818470673
42552,1,34899,500,0,Cluster 0 (com=0.50),0.5516640416896651
43958,1,34899,297,0,Cluster 0 (com=0.50),0.3200519626033676
45423,1,34899,807,0,Cluster 0 (com=0.50),0.4251181052631215
47861,1,34899,2276,0,Cluster 0 (com=0.50),0.5483290183793433
56637,1,34899,1140,0,Cluster 0 (com=0.50),0.6016705629349436
56667,1,34899,54,1,Cluster 1 (com=0.69),0.5032228029444681
58884,1,34899,667,0,Cluster 0 (com=0.50),0.29960211567721773
63112,1,34899,126,1,Cluster 1 (com=0.69),0.2699698243810942
64427,1,34899,415,0,Cluster 0 (com=0.50),0.28914597544205883
66892,1,34899,81,0,Cluster 0 (com=0.50),0.21048155390854534
69439,1,34899,229,0,Cluster 0 (com=0.50),0.39238051791979506
71159,1,34899,459,0,Cluster 0 (com=0.50),0.3062684104103104
74165,1,34899,461,0,Cluster 0 (com=0.50),0.4167904014254547
75107,1,34899,938,0,Cluster 0 (com=0.50),0.5629943218068612
77692,1,34899,600,1,Cluster 1 (com=0.69),0.4715501411273944
77995,1,34899,103,0,Cluster 0 (com=0.50),0.1890158977095175
79610,1,34899,304,0,Cluster 0 (com=0.50),0.2487732153026432
80438,1,34899,903,0,Cluster 0 (com=0.50),0.555341412371533
84604,1,34899,710,0,Cluster 0 (com=0.50),0.3689750201192712
85241,1,34899,142,0,Cluster 0 (com=0.50),0.3285624968134209
87264,1,34899,500,1,Cluster 1 (com=0.69),-0.013358253469596557
87322,1,34899,88,0,Cluster 0 (com=0.50),0.37930084864202807
91801,1,34899,795,0,Cluster 0 (com=0.50),0.41878763090577414
94749,1,34899,584,0,Cluster 0 (com=0.50),0.4759824306922086
98256,1,34899,164,0,Cluster 0 (com=0.50),0.23759816761320557
101217,1,34899,62,0,Cluster 0 (com=0.50),0.4226921317176967
102854,1,34899,610,0,Cluster 0 (com=0.50),0.5446134684469953
105125,1,34899,388,0,Cluster 0 (com=0.50),0.051002030458293914
