k,custo,silhueta_media,metrica
2,1646.1070531600876,0.3310368272301908,euclidean
3,1573.9826857973676,0.15180808460592693,euclidean
4,1521.9076976653084,0.1020990535190859,euclidean
5,1491.710018691925,0.11564166601205587,euclidean
6,1461.7150203279346,0.131273961834211,euclidean
7,1448.5268124842214,0.1015399048061749,euclidean
8,1424.4283642090309,0.10471507101004998,euclidean
2,3808.514687337686,0.32159707804978815,cityblock
3,3609.44056336794,0.13052422817446083,cityblock
4,3504.897077647477,0.13225275133291325,cityblock
5,3392.882825997652,0.16257018616208702,cityblock
6,3349.724642944947,0.1656689757744679,cityblock
7,3264.0485604609325,0.07008844585253934,cityblock
8,3226.8853271280686,0.12194467572232326,cityblock
2,988.9025302100174,0.35586474965459436,cosine
3,879.5334244390501,0.24317492763566784,cosine
4,840.906257901234,0.22908376790174748,cosine
5,805.0957096797434,0.18932303517968146,cosine
6,780.0985489488394,0.22109683595642882,cosine
7,746.2277022533865,0.19112510512108136,cosine
8,723.9787403178277,0.18483328948894034,cosine
2,1089.20842991063,0.43401813826675145,chebyshev
3,1032.7779776443742,0.16128649698106917,chebyshev
4,994.3422883641149,0.12471744477977807,chebyshev
5,965.5603778982229,0.1374092078387986,chebyshev
6,949.8157866453039,0.08573422647858368,chebyshev
7,927.1708001996874,0.07262368329046813,chebyshev
8,904.8273955477448,0.05723948876214853,chebyshev
