id_student,ciclo,id_assessment,total_clicks,cluster,perfil,silhueta
31296,1,34899,45,1,Tardio,0.5084993812002794
35747,1,34899,491,1,Tardio,-0.02751587574958139
35796,1,34899,277,0,Adiantado,0.14762051049259142
40857,1,34899,207,0,Adiantado,0.22665558023966703
40878,1,34899,345,2,Equilibrado,0.36235206738586445
42552,1,34899,500,0,Adiantado,0.3087310843246527
43958,1,34899,297,2,Equilibrado,0.3085700588564438
45423,1,34899,807,0,Adiantado,0.03194724511036923
47861,1,34899,2276,2,Equilibrado,0.23168377715507643
56637,1,34899,1140,2,Equilibrado,0.12873737896060378
56667,1,34899,54,1,Tardio,0.5352604069184645
58884,1,34899,667,2,Equilibrado,0.4255261873206924
63112,1,34899,126,1,Tardio,0.2216890924326121
64427,1,34899,415,2,Equilibrado,0.32702843682355903
66892,1,34899,81,2,Equilibrado,0.330867700686216
69439,1,34899,229,2,Equilibrado,0.09415768614906905
71159,1,34899,459,2,Equilibrado,0.09513085211837223
74165,1,34899,461,2,Equilibrado,0.42638442487355316
75107,1,34899,938,2,Equilibrado,0.3303869092003035
77692,1,34899,600,1,Tardio,0.5065454773981112
77995,1,34899,103,2,Equilibrado,0.3711832631870363
79610,1,34899,304,0,Adiantado,0.3404096097281421
80438,1,34899,903,2,Equilibrado,0.2785242114562234
84604,1,34899,710,2,Equilibrado,0.29793492671265215
85241,1,34899,142,2,Equilibrado,0.4109815263527033
87264,1,34899,500,2,Equilibrado,0.28734860601586876
87322,1,34899,88,2,Equilibrado,0.4545656660954914
91801,1,34899,795,2,Equilibrado,0.40651060529866867
94749,1,34899,584,2,Equilibrado,0.15865349634292714
98256,1,34899,164,2,Equilibrado,0.1957905273064795
101217,1,34899,62,0,Adiantado,0.3394864048931797
102854,1,34899,610,0,Adiantado,0.055990414522073824
105125,1,34899,388,2,Equilibrado,0.29838582913780676
105939,1,34899,265,1,Tardio,0.332879714674571
107455,1,34899,252,0,Adiantado,0.3472988451807066
109577,1,34899,143,0,Adiantado,0.12974978551613262
110820,1,34899,471,2,Equilibrado,0.06525005035349579
113702,1,34899,973,2,Equilibrado,0.25664787573651365
116529,1,34899,11,1,Tardio,0.39867569540594644
119310,1,34899,232,0,Adiantado,0.25035981035247246
119865,1,34899,410,2,Equilibrado,0.4192497405407561
125063,1,34899,490,2,Equilibrado,0.44490100112047504
129907,1,34899,639,1,Tardio,0.017343366189641374
131597,1,34899,60,2,Equilibrado,0.24834303945519962
132423,1,34899,278,0,Adiantado,0.09011947616832316
132475,1,34899,590,2,Equilibrado,0.23374355149909537
135280,1,34899,863,2,Equilibrado,0.12391891935336853
136944,1,34899,6,2,Equilibrado,0.0741530302047707
139206,1,34899,627,2,Equilibrado,0.13331470334944884
142310,1,34899,244,0,Adiantado,0.08480443250504058
143755,1,34899,1129,0,Adiantado,-0.033861575860504894
144959,1,34899,66,0,Adiantado,0.1456233546479191
149178,1,34899,532,0,Adiantado,0.2634241093406673
150282,1,34899,168,0,Adiantado,0.24621954236521346
152524,1,34899,964,2,Equilibrado,0.1814699110562118
152917,1,34899,694,2,Equilibrado,0.22862042735148116
155938,1,34899,557,2,Equilibrado,0.24467946931088938
157225,1,34899,201,1,Tardio,0.1843076613032547
159906,1,34899,266,2,Equilibrado,0.125347051469754
159947,1,34899,129,1,Tardio,0.5053970990219108
164148,1,34899,306,1,Tardio,0.3246920865554311
166123,1,34899,339,2,Equilibrado,0.15994948029219302
169596,1,34899,336,2,Equilibrado,0.3537797947187187
170874,1,34899,336,2,Equilibrado,0.3058994167368104
172493,1,34899,458,2,Equilibrado,0.05495944415444204
177492,1,34899,908,2,Equilibrado,0.13866292706100225
184627,1,34899,315,1,Tardio,0.4279777269455068
184720,1,34899,323,2,Equilibrado,0.19598397536866183
185994,1,34899,330,2,Equilibrado,0.12928704139241243
191504,1,34899,178,2,Equilibrado,0.1406890020261958
194163,1,34899,369,2,Equilibrado,0.3035816356303462
195246,1,34899,558,2,Equilibrado,0.14690740330588845
195552,1,34899,474,0,Adiantado,0.012474182066236556
199009,1,34899,354,2,Equilibrado,0.46131690203609316
204117,1,34899,386,2,Equilibrado,0.39124804534012253
226955,1,34899,721,2,Equilibrado,0.17493166632522186
228633,1,34899,602,0,Adiantado,0.01928151757348188
229498,1,34899,682,2,Equilibrado,0.18565991102571927
230947,1,34899,101,2,Equilibrado,0.272025622886254
232173,1,34899,1155,2,Equilibrado,0.45777510322631876
234661,1,34899,466,2,Equilibrado,0.08477477082757415
235747,1,34899,136,1,Tardio,0.49869499753987656
235768,1,34899,410,1,Tardio,0.21523605204205667
235971,1,34899,693,2,Equilibrado,0.3635497092175443
236090,1,34899,558,2,Equilibrado,0.43359658230656206
237891,1,34899,217,2,Equilibrado,0.10177682101728328
249357,1,34899,410,1,Tardio,0.4884590383564046
251166,1,34899,560,0,Adiantado,0.0741438410452037
253633,1,34899,370,2,Equilibrado,0.4294493708748977
253763,1,34899,1234,2,Equilibrado,0.2440653298008731
258245,1,34899,377,0,Adiantado,0.2343796090997163
258509,1,34899,311,1,Tardio,-0.039828035208326895
258978,1,34899,343,0,Adiantado,0.2402031459837366
261863,1,34899,228,0,Adiantado,0.10584861481821362
262025,1,34899,349,1,Tardio,0.5331128634865158
262394,1,34899,156,2,Equilibrado,0.06063507326435236
263862,1,34899,262,2,Equilibrado,0.16580869506329468
265497,1,34899,400,2,Equilibrado,0.06912917313475549
268823,1,34899,48,1,Tardio,0.4884590383564046
269584,1,34899,140,2,Equilibrado,0.4060849881843481
270421,1,34899,124,2,Equilibrado,0.11254245340467338
275127,1,34899,184,2,Equilibrado,0.30408946936942993
277384,1,34899,602,2,Equilibrado,0.2717387385397144
278380,1,34899,564,2,Equilibrado,0.39883844969078913
279440,1,34899,674,2,Equilibrado,0.41900155540667733
279653,1,34899,534,0,Adiantado,0.27725823765343705
279883,1,34899,136,2,Equilibrado,0.31860362249749435
281134,1,34899,420,2,Equilibrado,0.22826532163670712
282849,1,34899,614,0,Adiantado,0.10269080828333833
283402,1,34899,1046,2,Equilibrado,0.29961706676709543
286778,1,34899,398,2,Equilibrado,0.13411349217114654
287079,1,34899,109,0,Adiantado,0.18408955766801263
